text,sentiment
" I`d have responded, if I were going",neutral
http://www.dothebouncy.com/smf - some shameless plugging for the best Rangers forum on earth,neutral
Soooo high,neutral
 Both of you,neutral
" as much as i love to be hopeful, i reckon the chances are minimal =P i`m never gonna get my cake and stuff",neutral
test test from the LG enV2,neutral
Hes just not that into you,neutral
" oh Marly, I`m so sorry!!  I hope you find her soon!! <3 <3",neutral
is cleaning the house for her family who is comming later today..,neutral
gotta restart my computer .. I thought Win7 was supposed to put an end to the constant rebootiness,neutral
SEe waT I Mean bOuT FoLL0w fRiiDaYs... It`S cALLed LoSe f0LloWeRs FridAy... smH,neutral
" Ahhh, I slept through the game.  I`m gonna try my best to watch tomorrow though. I hope we play Army.",neutral
"Thats it, its the end. Tears for Fears vs Eric Prydz, DJ Hero   http://bit.ly/2Hpbg4",neutral
"just in case you wonder, we are really busy today and this coming with with adding tons of new blogs and updates stay tuned",neutral
" Car not happy, big big dent in boot! Hoping theyre not going to write it off, crossing fingers and waiting",neutral
MAYDAY?!,neutral
"RATT ROCKED NASHVILLE TONITE..ONE THING SUCKED, NO ENCORE!  LIKE IN THE 80`S THEY STILL HAVE A FUN SHOW. PEARCY HAS THAT HOTT BAD BOY LOOK",neutral
The girl in the hair salon asked me 'Shall I trim your eyebrows!' How old do I feel?,neutral
:visiting my friendster and facebook,neutral
 Then you should check out http://twittersucks.com and connect with other tweeple who hate twitter,neutral
" also bored at school, its my third freelesson( freistunde )",neutral
 hm... Both of us I guess...,neutral
 I`d rather do the early run..but I am a morning runner,neutral
will be back later.  http://plurk.com/p/rp3k7,neutral
 what fun are you speaking of?,neutral
 haha yes,neutral
Is at a photoshoot.,neutral
Yay playing a show tonight! Boo it`s gonna soggy and I`m at work right before playing,neutral
" If you know such agent, do let me know",neutral
I still smell of smoke  #kitchenfire,neutral
"Anyone have an extra Keane ticket? I promise to buy you a drink and take rad pics for your FB / Blog / Flickr., etc",neutral
"'you can ride one, you can catch one, but its not summer til you pop open one'  ?",neutral
 she is good! so gor-juz yea i kno i asked her yesterday when we were at tha hospital if she talked to u and she said no,neutral
OK - I`m out of here for now. Just popped in to say Hi and check on things. I`ll probably head to the guttah later on tonight,neutral
 My sources say no,neutral
" Hey, you change your twitter account, and you didn`t even tell me...",neutral
fell asleep waiting for my ride!,neutral
 Miles from you   I`m in Essex so give me plenty of warning so I can arrive in time to get at least one of those free beers.,neutral
"His snoring is so annoying n it keeps me from sleeping (like right now, lol) but I honestly wud miss it if it eva left  I love him.",neutral
_Mounce yes and it lasts way past my bedtime!,neutral
 Hi  how are you doing ???  *just joined twitter...*,neutral
eating ice cream and then getting ready for graduation.,neutral
Gonna read a story bout adam lambert online then bed. Nighty night,neutral
" Certainly not Cheers than, huh?",neutral
at least I get to watch over time  Let`s go Pens!!,neutral
 cool i wear black most of the time when i go out,neutral
if u have a friendster add me!!!!!!!!!        my email adress      add me  loco_crime_1st.com        add me leave some comment,neutral
  has tickets.......?,neutral
 ACSM. it`s unfathomable.  i think the other one .. and the .. is one that should be kept to the comfort of our bedrooms. yes?,neutral
"I hate Fallout 3 it keeps making me jump, I`m also low on health, money, ammo and food  don`t worry I`ll get through it.",neutral
" I had it! On my itunes, but then I lost all my songs.",neutral
What`s with the gloomy weather? The sun must be too tired to come out and play  heading to victoria gardens for some impulse buys haha,neutral
"at dads, watching some mtv and am going on sims2 in a minutee",neutral
 Absolutely,neutral
 what`s the matter chickadee?,neutral
 Namaskar & Namaste r both the same. Marathi people say Namaskar! its a marathi word.... should i ? ...naaaah !,neutral
" Congrats!  I cuss like that in a matter of minutes, But didn`t know until now there is a reward for it.",neutral
Humous and Dorito`s.... Oh yes,neutral
Today is going to be a normal day for I hope. We had a group of pilots from a large airline come in last night so it was too much drink,neutral
" I watched that too!!! I didnt want her to win, but she put up a good fight..lol",neutral
Just came 11th in cross country and beat dumbo,neutral
tomorrow valeria`s lunch!!! going to get my hair done but im arraving late   got my cousins babtizm or whatever you spell it,neutral
Mmmmmmmm... ? it in the morning,neutral
 me neither,neutral
"Has about 10 hours work to do, on a Sunday. Boo. I will find time for a two hour lunchbreak though. Yeah",neutral
" ah yes, I know that feeling",neutral
Night of the cookers with my dad,neutral
 Nope I am in Coquitlam,neutral
Big booming thunder storm almost here.  Maybe we can all go home early???  Ah... probably not.,neutral
i think iv hurt my tooth  and eilish and cassie are having a drawing competiton to draw cookies and pineapples haha :L .,neutral
 I want to know when the auditions are Mander! Text or...reply please!,neutral
i need to get my computer fixed,neutral
"All the cool people I want to find for following today are #English, and I guess the English don`t tweet.",neutral
 no sir...i woulda put honey...but i don`t have any,neutral
Finally got a call for marriage counseling 3 days late....,neutral
 ok then,neutral
_420 why baby?,neutral
We`re having an impromptu pool party... Except I don`t know how to swim so I can`t get in,neutral
 *phew*  Will make a note in case anyone else runs into the same issueÃ¯Â¿Â½,neutral
 i talk to you,neutral
"Had nicotine replacement patch on for 4 hours. So far, so good, but I did sleep for most of those 4 hours. Getting a bit twitchy now",neutral
_Sanderson What`s with Twatter lately?  Either I can`t get on or the replies don`t turn up!,neutral
 I`ve heard this fall. I`m waiting too!,neutral
 more nightmares?  *huggles*,neutral
Grabbing coffee from  then making mom breakfast,neutral
 thanks. before the major chop.,neutral
just got up and updated my ipod,neutral
Saw James carville in the store today. His head is really that bald,neutral
yellow for   ? http://blip.fm/~5z05g,neutral
 which means you`re just going to have to come back to vancouver and have it our way! hahah,neutral
"downloading songs while trying to sneak a lil homework in too, which should be my main priority not songs lol",neutral
@_Ra_Ra_ your not alone...i need coffee too.,neutral
 Sounds like me,neutral
Bad day  The day you realize what mess you`ve put me through will be one of the happiest days of my life...,neutral
_nesmith,neutral
The exception for a short dude: Larenz fineass Tate yum,neutral
 Yes i work 6 to 3...,neutral
" Hmmm, maybe that`s what they meant. They eluded to something brand new but you know how the media is",neutral
Done at the spa   now meeting vic for some late lunch!,neutral
 Always have wanted to go to Oz,neutral
 Thx,neutral
Okay so I`m dedicating my 300th tweet to the fact that I`m going to the Apple store because there is a HUGE crack on the glass screen!,neutral
 If only we could ever actually be allowed to stay here and do that,neutral
 Let me know how that turns out!!,neutral
 was that sass I detect?  As long as it isn`t back sass! Haha,neutral
 Sports Bar Shatranjanpoli Rest Ph 26498457 All Sports Bar Andheri W 26733333 Dont know whether that helps. Google ki jai ho,neutral
" I live for pain, bring it on",neutral
"okay, i`m out for a while  back later!",neutral
  #powerblog What is this powerblog challenge you keep talking about?  I`m a newbie follower,neutral
Waiting for tish to get off. Got to drive my moms CRV to pick her up all my myself and duckie. First time,neutral
going to shower because i don`t want to smell at school tomorrow,neutral
 Sigh... you know I am...,neutral
Here are 4 FREE twitter tools will get you followers  http://short.to/511q http://jijr.com/hulz http://short.to/511r http://2ve.org/xPG0/,neutral
just got home from work.... and is chugging down a big bottle of apple juice.,neutral
 it was only once for my big brother...and I`m done now,neutral
good news: finally finished my #EASactive workout that has been paused for 6 hours. bad news: my resistance band is torn,neutral
"I waited, listening to wind blowing through the tumbleweed? Are none of you old enough to know what to do when someone says 'Crackerack'?",neutral
 Hell Yeah!,neutral
 HIM shirt at dinner? Do you need to ask??  Does it actually have Ville on it?,neutral
 i know!!,neutral
 huh what the ****? Smelly? Noooo. I love alex Vixon,neutral
twittering after 2 days!,neutral
Is getting the hang of Twitter.,neutral
I want it BACK NOW!: http://bit.ly/PP1WZ,neutral
"bathing with two little angels, Keyla and Janice.",neutral
 HAHAHHA lol true that! i always remember my BD but i can never remember what date or even day it is,neutral
"Family is here,hanging with them",neutral
" Morning! If I get to see it, I`ll let you know. Right now, I`m going to go see Wolverine.",neutral
" red top tabloids, build em up, knock em down",neutral
  why not now you made me sad I thought you`d be jumping for joy,neutral
 Simple my a#@,neutral
"The pics I just uploaded are the baby pics of my cats. Missy is now an adult and a pretty little kitty, but Batty is in kitten heaven now",neutral
"_Live That`s what I want. More the better. Bound to be a few bad eggs though, but they will soon learn.",neutral
Hell yeah Kellynn got a Twitter. Finally.,neutral
,neutral
It looks like the office TV DOES get MLB Network... and it looks like MLBN will NOT be televising the DET/BAL game today  #wieters,neutral
Home empty handed.  No comics found today.  I shall now indulge in my cupcakes from Magnolia Bakery.,neutral
" I was going to go on Sunday, but now I`ve got too much going on that weekend",neutral
 Not sure it didn`t say it was 2 big. I jst saw the pics of u on ur last bday. You looked so pretty!! I miss you!!,neutral
sore throat. Planning the TET outing to Marwell though...good times,neutral
 There!,neutral
 whens the sway sway winner announced?,neutral
 K will check it out...,neutral
"i want to wake up early, and get a coffee tomorrow (today) !  it`s going to be a busyy day! but have to keep writing.. booo whoo!",neutral
I just realized that I can`t forward text msgs with my iPhone.,neutral
"It`s a Peter & Gordon morning  -> And I, go to pieces and I wanna hide / Go to pieces and I almost die / Ever... ? http://blip.fm/~5yk38",neutral
 LMAO... Smh!  that one threw me off.,neutral
Is getting ready for work... Working all weekend,neutral
I saw amazing heeels. But they were too big,neutral
 my boss. She`s moving to NYC,neutral
I think i need some new friends,neutral
 Looking forward to your gig in Ireland!!!  See ya there!,neutral
"is hungry, twitter.  i want food. </3",neutral
" yea, i should know.. but tell me EVERYTHING!  ps: send me direct messages telling..   haha",neutral
"had a great time out in the beer garden wit the boyos !! I think the sun got to me a bit though, feel a bit ill !!",neutral
 u really don`t think so?  maybe ur right....lol. btw what phone u using? think u told me b4...i might have an app for u,neutral
comes home in two days,neutral
 ehhh no. just a check up. I have a dentist app next week though. getting my molar pulled/root canal.,neutral
" yeah real hard, but I know you`ll get by with it... smile",neutral
 I make that same face when I get home and your mom is watching soaps.,neutral
I have to go to work now.,neutral
 I can`t believe you went and got boba without me.,neutral
"  And to you too, how are you today?",neutral
19 days and counting,neutral
BRAINFREEZE,neutral
Just discovered a shortcoming of Gravity. When you use Twitpic (integrated) it doesn`t subtract the pic URL from the 140 character limit,neutral
perky purple nail polish isn`t as perky when its chipped,neutral
"http://twitpic.com/4sx96 - before they put a CAMERA in the smokers pit.  i can no longer vandalize that door, without being caught.",neutral
 qood morninq,neutral
writing my english original writing storyyyyy. and listening to `a little respect` by erasure  aaaaaah.,neutral
needs more followers,neutral
The little wormy from labyrinth sadly passed away today but its ok as hes still around in a happy ghost form aww  http://twitpic.com/67aim,neutral
 the 'no pants' idea could be the new attempt world-wide to attract business back to the airlines.,neutral
[-O] i wish the birthday massacre would come to australia  i think they said they`re thinking about it tho.. http://tinyurl.com/p6lfch,neutral
was hoping to go to Red Lobster this weekend,neutral
 so no rice or crusty bread with the chili .... aawww,neutral
"  We are of like minds this evening , my dear!",neutral
come and save me from my packing please?!,neutral
_dec0de I finally just have 1 hour of history... at 3.00 pm! but I went to my highschool at 8.00 am to make some homework with a friend,neutral
Saw a black snake in the garden.  Went back for a picture and it was gone,neutral
Discovered  and  are sharing on G reader with me and didn`t even know it. Sigh.... I`m such a G reader newb.,neutral
"is chilled out tonite, so cannot spew venom or write funny. Seems like these are the only 2 styles she has",neutral
" If u do, please pray 4 me.  Lord knows I need it.",neutral
aaaaaw i want to live in the USA,neutral
" Hey, I didn`t get any !!!",neutral
"  That makes my day so much better, it`s been a rough one. Did I mention I love the new photo!",neutral
concert tonight  chackin out and not coming tomorrow!,neutral
 what happened? I thought you were coming back today....,neutral
" 'there are people and then there are pencils' some are sharp, some are not and some can be sharpened  my pencil philosophy.....",neutral
"just about to go home. I`m usually `mr. positive` but this has been one of those daze. well, 15 mins until tomorrow!",neutral
 but you always have lee. Let`s go to Paris,neutral
 i think it`s under a honeymoon by the good life -- either that or it`s under a honey moon by joseph arthur.,neutral
 it was hours ago i came in.... and it`s only now i realised when i went to buy something online,neutral
 oh just referring to our lil exchange on LJ with regards to twitter archive postings.,neutral
"back soon, need to run to the shops and cut the grass",neutral
I`m up. I have a plan to transform my bedroom today. Random.,neutral
 thats another sponsor,neutral
is home alone.. Doing hw,neutral
uploading all my bamboozle pictures of facebook,neutral
"Woke Up,I Wanna Stay In My bed",neutral
" It would be great if those VIPS were for some acts I`d enjoy seeing, but noooo.",neutral
_Marie Wish I could make it too!!! I hate my commute sometimes,neutral
there`s really no android twitter app of Tweetie`s calibre,neutral
yeah.... and im gonna take ur picture off my ipod baby..,neutral
 lol same here....wish there was a way to microsize everything...lol,neutral
About to have dinner and then an evening of playing cards. Already packed and ready to head home tomorrow   Do we have to go home?,neutral
 nah jkin he`s hot! so... bored now,neutral
 yes i have read them many times.,neutral
 Cuz you play a grown up on Twitter?,neutral
 nope... it is telling you that you want cameo creams,neutral
"_terrible haha, that was new  the fact that he couldn`t do it should have cost his part. What kind of Spock is that!",neutral
@ Barbs trying to figure out y the dsl aint connecting. I need my google. Going home to my computer if it don`t start working soon. SMH,neutral
Seems really quiet tonight...am jealous of those who are clearly having a more exciting life than me   Off to bed I think...,neutral
 hay wats ur AIM? we should chat,neutral
. Okay kool... I might be touring all summer long but we can make it happen!,neutral
"Time to watch OP, then some Dead Like Me, then sleep.",neutral
Having dinner with my grandma since I couldn`t be with my mum.,neutral
 yea so wassup,neutral
 Thank you   I`ve had anxiety issues for years so I think if I can make it through the first couple of days then I will be fine.,neutral
Around 3 hours left until a 3 day weekend and I have waaaay too much work to do.,neutral
" there were attempts to somehow extend inner classes, which would be close to #closure, can`t find the ref ATM",neutral
 Yes! Join us! All we require is a cupcake donation...,neutral
 Can`t access your site!,neutral
 nup no cd either.. just a whole bunch of zeros and ones you can have for free,neutral
My graduation day... And i feel like a failure...,neutral
ops   that lol wasnt supposed to got to twitter,neutral
 What are u going to do today my girl?,neutral
" I am just `okay-okay` .. like the rest of the sane population in the world, I hate mondays",neutral
mozart`s requiem!,neutral
" i think i am a bit, in love with his creations and wit but not that physically attracted to him although he has great style",neutral
" OHSHNAPSSS. is she pissed at blair as usual ? hahah. & yeeeah, i bake cookies",neutral
 no bueno.  hollykins needs to feel better asap.  p.s. i miss you.  you done with uni soon aren`t you?  SOPROUDOFYOU.,neutral
<---My expression watching this again: http://tinyurl.com/eqbwe,neutral
 nice beta for easports still no news on the online for madden,neutral
 sure i can talk....the fabulous **** part though is out  sorry dear,neutral
Ahhh My Satz blend didn`t save,neutral
My ear are popping.,neutral
Catching up on 2 weeks of LOST and Grey`s!!    House is quiet again.,neutral
 hey Phillll! Wazzuppppp?!,neutral
"last weekday of doing nothing, school starts next week!!!",neutral
"ok, i have to turn off all of my twitter device updates until i get a new battery. phone goes from fully charged to dead in about 5 hours",neutral
michelle is a hot mama with chichis grande,neutral
 no one I know likes boiled peanuts t.,neutral
 Please get a cell phone with a better camera on it... your pictures are real bad quality compared to those that Miley took,neutral
 Hoooray!  I`m hooked already,neutral
 I agree. Everybody would`ve been excited and then it goes... ohhhh nooooo..... MS screws up again..,neutral
Edge left me off the contributors list in this month`s issue.  x FFS. <- Werd,neutral
" ooo Growl and Yummy time coming soon for you too huh oh yeah, I have been hunting for a combo tshirt, think I can find one?  NO",neutral
www.myspace.com/fashionisthenextcity  check out and started new tee`s  limited edition in different ways !! check facebook group too,neutral
 'They' being the husband or the girl?,neutral
Thinking of what I should do in Vegas??? Any good ideas or places that are a most see!??,neutral
   Hi to one kiwi artist from another kiwi artist,neutral
 oooo ok   why  havent you accepted my friends request,neutral
 no,neutral
Its Friday! Only 5 more hours until I`m free!.....until tomorrow.  oh well,neutral
meeting just in time that iÃ¯Â¿Â½m trying to win something  prize`s friday!,neutral
"`s plans didn`t go as followed, but its ok",neutral
 _what_ did you do?  Let me guess... you skipped sports and bought a new pinkish outfit?,neutral
where is the rain please come out,neutral
 My pleasure,neutral
 I don`t have the app that does it,neutral
out for supper tonight with kurumi in 10 minutes,neutral
  hi mariah,neutral
_Yours13 I`m not at home with my cats right now!,neutral
Exam 1 today. Going to get my license renewed  The birthday is getting closer!,neutral
Thinks its gonna rain,neutral
"Yrbook signing w/ evryone was fun, I`m gna miss evrything",neutral
   so not close enough that I could run out and get one,neutral
totally having austin powers withdrawl symptons and Darrius withdrawl symptoms and mommy and minne withdrawl syamptoms.,neutral
Senior`s last day.,neutral
"  - we`re getting closer rather than further from REAL lobby dates - Chicago, BlogHer09 - squee!!!",neutral
Has lost his vocie and Adele is laughing at me LOL and still wondering why I`m in college on me week off,neutral
"Didn`t get bitten by a rabies infested person last night  yay for me! Gonna scare Rachel with Quarantine tonight, this shall be fun",neutral
watching the simpsons,neutral
"Has work very, very soon. Way too soon!",neutral
 phaket.  what did anneliese want to do?,neutral
